gate_id,policy_id,gate_type,required_insp,required_corr_level,required_manuscript_progress,actual_inspiration,actual_corruption_level,actual_manuscript_progress,actual_anxiety,actual_pass,intended_note
ch1_write_gate,corruption_forward,write_gate,15,2,,30,10,5,43,True,write_ch1
ch1_write_gate,cautious,write_gate,15,2,,40,3,1,9,True,write_ch1
ch1_write_gate,passive,write_gate,15,2,,30,1,0,5,False,write_ch1
ch1_write_gate,reckless,write_gate,15,2,,60,9,3,100,True,write_ch1
ch1_write_gate,recovery,write_gate,15,2,,40,3,1,7,True,write_ch1
ch1_write_gate,deadline_skip,write_gate,15,2,,30,1,0,0,False,write_ch1
ch1_write_gate,ch1_only,write_gate,15,2,,40,2,1,7,True,write_ch1
ch1_write_gate,anxiety_push,write_gate,15,2,,50,6,0,100,True,write_ch1
ch1_write_gate,penance_force,write_gate,15,2,,20,8,4,65,True,write_ch1
ch2_write_gate,corruption_forward,write_gate,30,3,,30,10,5,43,True,write_ch2
ch2_write_gate,cautious,write_gate,30,3,,40,3,1,9,True,write_ch2
ch2_write_gate,passive,write_gate,30,3,,30,1,0,5,False,write_ch2
ch2_write_gate,reckless,write_gate,30,3,,60,9,3,100,True,write_ch2
ch2_write_gate,recovery,write_gate,30,3,,40,3,1,7,True,write_ch2
ch2_write_gate,deadline_skip,write_gate,30,3,,30,1,0,0,False,write_ch2
ch2_write_gate,ch1_only,write_gate,30,3,,40,2,1,7,False,write_ch2
ch2_write_gate,anxiety_push,write_gate,30,3,,50,6,0,100,True,write_ch2
ch2_write_gate,penance_force,write_gate,30,3,,20,8,4,65,False,write_ch2
ch3_write_gate,corruption_forward,write_gate,45,3,,30,10,5,43,False,write_ch3
ch3_write_gate,cautious,write_gate,45,3,,40,3,1,9,False,write_ch3
ch3_write_gate,passive,write_gate,45,3,,30,1,0,5,False,write_ch3
ch3_write_gate,reckless,write_gate,45,3,,60,9,3,100,True,write_ch3
ch3_write_gate,recovery,write_gate,45,3,,40,3,1,7,False,write_ch3
ch3_write_gate,deadline_skip,write_gate,45,3,,30,1,0,0,False,write_ch3
ch3_write_gate,ch1_only,write_gate,45,3,,40,2,1,7,False,write_ch3
ch3_write_gate,anxiety_push,write_gate,45,3,,50,6,0,100,True,write_ch3
ch3_write_gate,penance_force,write_gate,45,3,,20,8,4,65,False,write_ch3
deadline_ch1,corruption_forward,deadline_gate,,,,30,10,5,43,True,continue_spine
deadline_ch1,cautious,deadline_gate,,,,40,3,1,9,True,continue_spine
deadline_ch1,passive,deadline_gate,,,,30,1,0,5,True,continue_spine
deadline_ch1,reckless,deadline_gate,,,,60,9,3,100,True,continue_spine
deadline_ch1,recovery,deadline_gate,,,,40,3,1,7,True,continue_spine
deadline_ch1,deadline_skip,deadline_gate,,,,30,1,0,0,True,continue_spine
deadline_ch1,ch1_only,deadline_gate,,,,40,2,1,7,True,continue_spine
deadline_ch1,anxiety_push,deadline_gate,,,,50,6,0,100,True,continue_spine
deadline_ch1,penance_force,deadline_gate,,,,20,8,4,65,True,continue_spine
deadline_ch2,corruption_forward,deadline_gate,,,2,30,10,5,43,True,continue_spine
deadline_ch2,cautious,deadline_gate,,,2,40,3,1,9,False,continue_spine
deadline_ch2,passive,deadline_gate,,,2,30,1,0,5,False,continue_spine
deadline_ch2,reckless,deadline_gate,,,2,60,9,3,100,True,continue_spine
deadline_ch2,recovery,deadline_gate,,,2,40,3,1,7,False,continue_spine
deadline_ch2,deadline_skip,deadline_gate,,,2,30,1,0,0,False,continue_spine
deadline_ch2,ch1_only,deadline_gate,,,2,40,2,1,7,False,continue_spine
deadline_ch2,anxiety_push,deadline_gate,,,2,50,6,0,100,False,continue_spine
deadline_ch2,penance_force,deadline_gate,,,2,20,8,4,65,True,continue_spine
soft_fail_rejection,corruption_forward,ending_gate,,3,,30,10,5,43,True,mvp_path
soft_fail_rejection,cautious,ending_gate,,3,,40,3,1,9,True,mvp_path
soft_fail_rejection,passive,ending_gate,,3,,30,1,0,5,False,mvp_path
soft_fail_rejection,reckless,ending_gate,,3,,60,9,3,100,True,mvp_path
soft_fail_rejection,recovery,ending_gate,,3,,40,3,1,7,True,mvp_path
soft_fail_rejection,deadline_skip,ending_gate,,3,,30,1,0,0,False,mvp_path
soft_fail_rejection,ch1_only,ending_gate,,3,,40,2,1,7,False,mvp_path
soft_fail_rejection,anxiety_push,ending_gate,,3,,50,6,0,100,True,mvp_path
soft_fail_rejection,penance_force,ending_gate,,3,,20,8,4,65,True,mvp_path
anxiety_dismissal,corruption_forward,anxiety_gate,,,,30,10,5,43,True,
anxiety_dismissal,cautious,anxiety_gate,,,,40,3,1,9,True,
anxiety_dismissal,passive,anxiety_gate,,,,30,1,0,5,True,
anxiety_dismissal,reckless,anxiety_gate,,,,60,9,3,100,False,
anxiety_dismissal,recovery,anxiety_gate,,,,40,3,1,7,True,
anxiety_dismissal,deadline_skip,anxiety_gate,,,,30,1,0,0,True,
anxiety_dismissal,ch1_only,anxiety_gate,,,,40,2,1,7,True,
anxiety_dismissal,anxiety_push,anxiety_gate,,,,50,6,0,100,False,
anxiety_dismissal,penance_force,anxiety_gate,,,,20,8,4,65,True,
day104_anxiety_write_block,corruption_forward,write_gate,,,,30,10,5,43,True,triumphant_write
day104_anxiety_write_block,cautious,write_gate,,,,40,3,1,9,True,triumphant_write
day104_anxiety_write_block,passive,write_gate,,,,30,1,0,5,True,triumphant_write
day104_anxiety_write_block,reckless,write_gate,,,,60,9,3,100,True,triumphant_write
day104_anxiety_write_block,recovery,write_gate,,,,40,3,1,7,True,triumphant_write
day104_anxiety_write_block,deadline_skip,write_gate,,,,30,1,0,0,True,triumphant_write
day104_anxiety_write_block,ch1_only,write_gate,,,,40,2,1,7,True,triumphant_write
day104_anxiety_write_block,anxiety_push,write_gate,,,,50,6,0,100,True,triumphant_write
day104_anxiety_write_block,penance_force,write_gate,,,,20,8,4,65,True,triumphant_write
